priceaed,bedrooms,bathrooms,sizesqft,pricepersqft,community,propertytype,furnishing,constructionstatus,listingdate,latitude,longitude,priceband
915000.0,1.0,2.0,209.0,4377.99043062201,Al Furjan,Apartment,Furnished,Ready,2024-02-05,25.02671,55.14699,<1M
540000.0,0.0,1.0,594.0,909.0909090909091,Al Furjan,Apartment,Furnished,Ready,2024-03-20,25.02671,55.14699,<1M
465000.0,0.0,1.0,594.0,782.8282828282828,Al Furjan,Apartment,Unfurnished,Ready,2024-04-02,25.02671,55.14699,<1M
750000.0,0.0,1.0,243.0,3086.41975308642,Al Furjan,Apartment,Furnished,Ready,2024-03-16,25.02671,55.14699,<1M
550000.0,0.0,1.0,260.0,2115.3846153846152,Al Furjan,Apartment,Unfurnished,Ready,2024-04-07,25.02671,55.14699,<1M
1300000.0,2.0,2.0,594.0,2188.5521885521885,Al Furjan,Apartment,Furnished,Ready,2024-04-01,25.02671,55.14699,1–2M
1100000.0,1.0,2.0,193.0,5699.481865284974,Al Furjan,Apartment,Unfurnished,Ready,2024-03-05,25.02671,55.14699,1–2M
830000.0,1.0,2.0,186.0,4462.365591397849,Al Furjan,Apartment,Unfurnished,Ready,2023-12-28,25.02671,55.14699,<1M
630000.0,0.0,1.0,340.0,1852.9411764705883,Al Furjan,Apartment,Unfurnished,Off-Plan,2024-02-14,25.02671,55.14699,<1M
760000.0,0.0,1.0,243.0,3127.572016460905,Al Furjan,Apartment,Unfurnished,Ready,2023-09-18,25.02671,55.14699,<1M
900000.0,1.0,1.0,166.0,5421.686746987952,Al Furjan,Apartment,Furnished,Ready,2024-02-26,25.02671,55.14699,<1M
550000.0,0.0,1.0,127.0,4330.708661417323,Al Furjan,Apartment,Furnished,Ready,2024-03-04,25.02671,55.14699,<1M
1600000.0,1.0,2.0,193.0,8290.155440414508,Al Furjan,Apartment,Furnished,Ready,2024-03-30,25.02671,55.14699,1–2M
545000.0,0.0,1.0,340.0,1602.9411764705883,Al Furjan,Apartment,Furnished,Off-Plan,2024-04-16,25.02671,55.14699,<1M
579999.0,0.0,1.0,594.0,976.429292929293,Al Furjan,Apartment,Furnished,Ready,2024-03-14,25.02671,55.14699,<1M
850000.0,1.0,2.0,166.0,5120.481927710844,Al Furjan,Apartment,Furnished,Ready,2024-03-28,25.02671,55.14699,<1M
615000.0,0.0,1.0,340.0,1808.8235294117646,Al Furjan,Apartment,Furnished,Off-Plan,2024-04-20,25.02671,55.14699,<1M
700000.0,0.0,1.0,243.0,2880.658436213992,Al Furjan,Apartment,Furnished,Ready,2024-01-03,25.02671,55.14699,<1M
1430000.0,2.0,3.0,146.0,9794.520547945205,Al Furjan,Apartment,Unfurnished,Ready,2024-03-20,25.02671,55.14699,1–2M
500000.0,0.0,1.0,298.0,1677.8523489932886,Al Furjan,Apartment,Furnished,Ready,2024-03-13,25.02671,55.14699,<1M
1200000.0,1.0,2.0,392.0,3061.2244897959185,Al Furjan,Apartment,Unfurnished,Off-Plan,2024-02-17,25.02671,55.14699,1–2M
2550000.0,3.0,5.0,324.0,7870.37037037037,Al Furjan,Apartment,Unfurnished,Off-Plan,2024-03-20,25.02671,55.14699,2–3M
500000.0,0.0,1.0,594.0,841.7508417508418,Al Furjan,Apartment,Unfurnished,Ready,2024-02-20,25.02671,55.14699,<1M
550000.0,0.0,1.0,340.0,1617.6470588235295,Al Furjan,Apartment,Unfurnished,Off-Plan,2024-03-21,25.02671,55.14699,<1M
510000.0,0.0,1.0,117.0,4358.974358974359,Al Furjan,Apartment,Furnished,Ready,2024-02-08,25.02671,55.14699,<1M
920000.0,1.0,2.0,166.0,5542.168674698795,Al Furjan,Apartment,Furnished,Ready,2024-04-20,25.02671,55.14699,<1M
999900.0,1.0,2.0,664.0,1505.8734939759036,Al Furjan,Apartment,Furnished,Off-Plan,2024-03-14,25.02671,55.14699,<1M
499999.0,0.0,1.0,128.0,3906.2421875,Al Furjan,Apartment,Furnished,Ready,2024-03-04,25.02671,55.14699,<1M
1250000.0,2.0,2.0,198.0,6313.131313131313,Al Furjan,Apartment,Unfurnished,Off-Plan,2024-01-29,25.02671,55.14699,1–2M
550000.0,0.0,1.0,260.0,2115.3846153846152,Al Furjan,Apartment,Unfurnished,Ready,2024-03-06,25.02671,55.14699,<1M
1300000.0,1.0,2.0,193.0,6735.751295336788,Al Furjan,Apartment,Unfurnished,Ready,2024-04-19,25.02671,55.14699,1–2M
579000.0,0.0,1.0,594.0,974.7474747474747,Al Furjan,Hotel Apartment,Unfurnished,Ready,2023-11-28,25.02671,55.14699,<1M
490000.0,0.0,1.0,166.0,2951.8072289156626,Al Furjan,Hotel Apartment,Furnished,Ready,2024-04-16,25.02671,55.14699,<1M
2600000.0,3.0,4.0,664.0,3915.6626506024095,Al Furjan,Penthouse,Furnished,Off-Plan,2024-02-09,25.02671,55.14699,2–3M
920000.0,0.0,1.0,241.0,3817.427385892116,Al Jaddaf,Apartment,Furnished,Ready,2023-11-02,25.214294,55.32457,<1M
1492000.0,1.0,2.0,241.0,6190.871369294606,Al Jaddaf,Apartment,Furnished,Ready,2024-03-12,25.214294,55.32457,1–2M
1200000.0,1.0,2.0,613.0,1957.5856443719413,Al Jaddaf,Apartment,Unfurnished,Ready,2024-03-07,25.214294,55.32457,1–2M
2900000.0,1.0,2.0,318.0,9119.496855345911,Al Jaddaf,Apartment,Furnished,Off-Plan,2024-03-05,25.214294,55.32457,2–3M
